"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"44","300.9211762850445","71.53105583085828","4.811415564246297","-0.30871971702871737","0.0205078125","0.019287109375","0.021728515625","1600","0.00036639178963862243","60","0","0.00036639178963862243","0.00036639178963862243","43:0.006915384428997556","43:660","0.0205078125","Yes"
"45","266.58186110383616","166.000571737245","4.599867036806306","-0.31302116112013934","0.042724609375","0.0380859375","0.04736328125","1600","0.00015635372400375327","60","0","0.00015635372400375327","0.00015635372400375327","44:0.005000882314065674","44:660","0.042724609375","Yes"
"46","327.64942330147016","83.22889244051372","4.658461014105285","-0.31246692996630254","0.02197265625","0.0107421875","0.033203125","1600","0.00020765705116860224","60","0","0.00020765705116860224","0.00020765705116860224","45:0.003262709646387807","45:660","0.02197265625","Yes"
"47","315.1347073812913","46.65139599044381","4.800236762888599","-0.3101630942689849","0.029296875","0.033203125","0.025390625","1600","0.0004617154633725596","60","0","0.0004617154633725596","0.0004617154633725596","35:0.005043796655860661;46:0.004431140775680631","35:660;46:660","0.029296875","Yes"
"48","446.8746993635016","236.6500292200891","4.755082361050748","-0.30932393852768447","0.0316162109375","0.04052734375","0.022705078125","1600","0.00013271316597730716","60","0","0.00013271316597730716","0.00013271316597730716","47:0.009384801736889686;49:0.011883573493843141","47:660;49:660","0.0316162109375","Yes"
"49","123.42858646665722","19.95388688116609","4.958547020858585","-0.3073761509923654","0.0198974609375","0.0244140625","0.015380859375","1600","0.000295442445377036","60","0","0.000295442445377036","0.000295442445377036","55:0.007823857086128011;50:0.010379086663909798","55:660;50:660","0.0198974609375","Yes"
"50","219.68426561185342","90.71427952599817","4.8150488151134505","-0.3083436301833214","0.04931640625","0.042724609375","0.055908203125","1600","0.00018343028740450595","60","0","0.00018343028740450595","0.00018343028740450595","","","0.04931640625","Yes"
"51","264.8318051103661","209.56922189324922","4.757868020173279","-0.30936293919581115","0.0592041015625","0.03759765625","0.080810546875","1600","0.0001566211354013465","60","0","0.0001566211354013465","0.0001566211354013465","50:0.006751159701165438","50:660","0.0592041015625","Yes"
"52","194.9207954054037","55.84762538531538","4.749963640821261","-0.3097333569449071","0.0377197265625","0.0400390625","0.035400390625","1600","0.00026232171207075857","60","0","0.00026232171207075857","0.00026232171207075857","","","0.0377197265625","Yes"
"53","232.3528862332068","68.39970919094363","4.934403871743654","-0.30614628774420294","0.0380859375","0.03955078125","0.045166015625","1600","0.0003623028102379477","60","0","0.0003623028102379477","0.0003623028102379477","41:0.007214452118927711;60:0.02734645716054243","41:660;60:660","0.0380859375","Yes"
"54","350.8633672656157","164.35222674761084","4.746710012991229","-0.312103878074553","0.021240234375","0.01904296875","0.0234375","1600","0.00014298900299076375","60","0","0.00014298900299076375","0.00014298900299076375","45:0.006477747427082042","45:660","0.021240234375","Yes"
"55","219.2491857836297","246.6826508360416","4.884238622114145","-0.3074389359843561","0.0345458984375","0.029296875","0.039794921875","1600","0.0002122020770902691","60","0","0.0002122020770902691","0.0002122020770902691","68:0.006485797656225589","68:660","0.0345458984375","Yes"
"56","139.2034424078188","151.515680913305","4.971811101913471","-0.3066984072593116","0.0181884765625","0.02001953125","0.016357421875","1600","0.00039749350488309563","60","0","0.00039749350488309563","0.00039749350488309563","57:0.03946423882093322;52:0.023607704346324726","57:660;52:660","0.0181884765625","Yes"
"57","209.75113513018226","21.08121414360269","4.751461621851533","-0.30930834476051017","0.0113525390625","0.007568359375","0.01513671875","1600","0.00042996201867681014","60","0","0.00042996201867681014","0.00042996201867681014","58:0.02594960029188295","58:660","0.0113525390625","Yes"
"58","299.0389574908029","153.3769671655232","4.855366274754234","-0.30870592613778314","0.0133056640625","0.014892578125","0.01171875","1600","0.0001860186749483052","60","0","0.0001860186749483052","0.0001860186749483052","","","0.0133056640625","Yes"
"59","216.9179634924908","111.84790149755035","4.701453276125555","-0.30987297232409344","0.012939453125","0.01171875","0.01416015625","1600","0.00043383731854514817","60","0","0.00043383731854514817","0.00043383731854514817","58:0.0228371930460608;60:0.026840475920866608","58:660;60:660","0.012939453125","Yes"
"60","249.1812616200635","63.283101249620856","4.844612575160362","-0.3086378714268149","0.0137939453125","0.0078125","0.019775390625","1600","0.00019498179959723583","60","0","0.00019498179959723583","0.00019498179959723583","61:0.01940658558116476","61:660","0.0137939453125","Yes"
