"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"41","264.07026702847327","304.83459828824687","0.0152587890625","0.017578125","0.012939453125","2584","0.00014176247640097363","32","0.00014176247640097363","0","0.00014176247640097363","0.00014176247640097363","40:0.0009974039638393495;42:0.0013209296971523343;36:0.0012863982811437968","40:68;42:68;36:68","40:0.001027927293233033;42:0.0015557643472793314;36:0.0010762634287860562","0.0152587890625","Yes"
"42","251.19118211146198","335.01576374395324","0.0069580078125","0.007568359375","0.00634765625","2584","0.00023601333989199577","32","0.00023601333989199577","0","0.00023601333989199577","0.00023601333989199577","41:0.0013209296971523343;43:0.007117451586582391","41:68;43:68","41:0.0015557643472793314;43:0.0024044740016961053","0.0069580078125","Yes"
"43","231.5099278317792","259.5893274806598","0.0050048828125","0.007080078125","0.0029296875","2584","0.00016314718964884677","32","0.00016314718964884677","0","0.00016314718964884677","0.00016314718964884677","42:0.007117451586582391;56:0.003907203082735428;44:0.0025885747145991955","42:68;56:80;44:68","42:0.0024044740016961053;56:0.0024546480617660404;44:0.003400610981743074","0.0050048828125","Yes"
"44","71.08321656106098","130.07836414085614","0.01416015625","0.01953125","0.006103515625","2584","0.00027221965319310977","32","0.00027221965319310977","0","0.00027221965319310977","0.00027221965319310977","45:0.0015073142276848528;43:0.0025885747145991955","45:68;43:68","45:0.001290623367911664;43:0.003400610981743074","0.01416015625","Yes"
"45","247.1883424138035","247.75546426219216","0.0096435546875","0.009033203125","0.01025390625","2584","0.0005055060787695691","32","0.0005055060787695691","0","0.0005055060787695691","0.0005055060787695691","44:0.0015073142276848528;46:0.0012624716656227664;37:0.0012532049368849107","44:68;46:68;37:68","44:0.001290623367911664;46:0.0010763921371118867;37:0.0016686942521284553","0.0096435546875","Yes"
"46","205.60632367736775","163.35829483156104","0.0203857421875","0.024169921875","0.0166015625","2584","0.00013367727763681248","32","0.00013367727763681248","0","0.00013367727763681248","0.00013367727763681248","45:0.0012624716656227664;47:0.0017891760026965964","45:68;47:68","45:0.0010763921371118867;47:0.001124090814298151","0.0203857421875","Yes"
"47","179.88887109771315","185.5420067728834","0.0196533203125","0.036376953125","0.0029296875","2584","0.00020483386272006216","32","0.00020483386272006216","0","0.00020483386272006216","0.00020483386272006216","48:0.0014152292042078907;57:0.0015914434029077884;46:0.0017891760026965964","48:68;57:68;46:68","48:0.001063421672819198;57:0.0015480122463766288;46:0.001124090814298151","0.0196533203125","Yes"
"48","242.60084205051274","312.49263363259263","0.0079345703125","0.0068359375","0.009033203125","2584","0.0002082375570849533","32","0.0002082375570849533","0","0.0002082375570849533","0.0002082375570849533","47:0.0014152292042078907;49:0.0012275243921153756","47:68;49:68","47:0.001063421672819198;49:0.001171929586685272","0.0079345703125","Yes"
"49","280.0403982303775","318.08721768792515","0.0086669921875","0.005615234375","0.01171875","2584","0.00023927459989392288","32","0.00023927459989392288","0","0.00023927459989392288","0.00023927459989392288","48:0.0012275243921153756;50:0.0014532447894327338;38:0.0011319832527488527","48:68;50:68;38:68","48:0.001171929586685272;50:0.000961336782275668;38:0.0012262091615429238","0.0086669921875","Yes"
"50","229.149259957307","304.66750903564986","0.00341796875","0.004150390625","0.002685546875","2584","0.0002418718908132676","32","0.0002418718908132676","0","0.0002418718908132676","0.0002418718908132676","49:0.0014532447894327338;51:0.001502674677792415","49:68;51:68","49:0.000961336782275668;51:0.0014769161517785845","0.00341796875","Yes"
"51","171.11932492611362","196.05660137643835","0.0068359375","0.008056640625","0.005615234375","2584","0.00011978114626816145","32","0.00011978114626816145","0","0.00011978114626816145","0.00011978114626816145","50:0.001502674677792415;52:0.0008974032972449975;58:0.006140963486815337","50:68;52:68;58:68","50:0.0014769161517785845;52:0.0009740971111148189;58:0.0038793138065384702","0.0068359375","Yes"
"52","287.30099493549847","235.90880090506045","0.0137939453125","0.002197265625","0.025390625","2584","0.00017073103006673163","32","0.00017073103006673163","0","0.00017073103006673163","0.00017073103006673163","51:0.0008974032972449975;53:0.0008480968263336608","51:68;53:68","51:0.0009740971111148189;53:0.0010983863976401498","0.0137939453125","Yes"
"53","286.25445708679285","277.15185033318255","0.0047607421875","0.005859375","0.003662109375","2584","0.00017752767055085965","32","0.00017752767055085965","0","0.00017752767055085965","0.00017752767055085965","39:0.002359209301695475;52:0.0008480968263336608;54:0.0011649982766232803","39:68;52:68;54:68","39:0.0013096307040953992;52:0.0010983863976401498;54:0.001071279420123361","0.0047607421875","Yes"
"54","239.97332408211528","208.58220403033113","0.0048828125","0.003662109375","0.006103515625","2584","0.0003465532120399498","32","0.0003465532120399498","0","0.0003465532120399498","0.0003465532120399498","53:0.0011649982766232803;55:0.0015717540434146415","53:68;55:96","53:0.001071279420123361;55:0.0015037911251373215","0.0048828125","Yes"
"55","216.47693103398927","195.81892487352084","0.007080078125","0.006591796875","0.007568359375","2584","0.00013075653308833752","32","0.00013075653308833752","0","0.00013075653308833752","0.00013075653308833752","59:0.0010231264237628157;54:0.0015717540434146415","59:68;54:96","59:0.0010680743276222093;54:0.0015037911251373215","0.007080078125","Yes"
"56","184.84624860746564","233.09812317752298","0.0042724609375","0.00537109375","0.003173828125","2584","0.0002213033905038948","32","0.0002213033905038948","0","0.0002213033905038948","0.0002213033905038948","63:0.0008499944004232707;43:0.003907203082735428","63:68;43:80","63:0.000953600111257169;43:0.0024546480617660404","0.0042724609375","Yes"
"57","228.0861950184143","221.49532739509468","0.01123046875","0.012451171875","0.010009765625","2584","0.00040338908840999843","32","0.00040338908840999843","0","0.00040338908840999843","0.00040338908840999843","47:0.0015914434029077884;67:0.0024212616444299617","47:68;67:68","47:0.0015480122463766288;67:0.0017704474335926979","0.01123046875","Yes"
"58","191.186017832805","256.3381156250126","0.00537109375","0.00390625","0.0068359375","2584","0.00018536887915766807","32","0.00018536887915766807","0","0.00018536887915766807","0.00018536887915766807","71:0.00418616913287187;51:0.006140963486815337","71:68;51:68","71:0.00942276564347816;51:0.0038793138065384702","0.00537109375","Yes"
"59","270.3717926533176","260.39626187877843","0.01025390625","0.00732421875","0.01318359375","2584","0.00016833071074626833","32","0.00016833071074626833","0","0.00016833071074626833","0.00016833071074626833","55:0.0010231264237628157;75:0.0008927455951341645","55:68;75:68","55:0.0010680743276222093;75:0.0008407039160175656","0.01025390625","Yes"
"60","235.9967194539688","427.49811690831024","0.0057373046875","0.00390625","0.007568359375","2584","0.0001445429648572351","32","0.0001445429648572351","0","0.0001445429648572351","0.0001445429648572351","61:0.0013899392335469107","61:68","61:0.001116765170819739","0.0057373046875","Yes"
"61","269.40807873006503","104.51162710201369","0.006103515625","0.0107421875","0.006103515625","2584","0.00022539535391015775","32","0.00022539535391015775","0","0.00022539535391015775","0.00022539535391015775","76:0.0041692018592274505;60:0.0013899392335469107;62:0.0013694896015373215","76:68;60:68;62:68","76:0.001405310693862516;60:0.001116765170819739;62:0.01706960676273267","0.006103515625","Yes"
"62","258.74557872867604","183.83217517884634","0.006591796875","0.0087890625","0.00439453125","2584","0.00009936621384089562","32","0.00009936621384089562","0","0.00009936621384089562","0.00009936621384089562","61:0.0013694896015373215;63:0.001636249628305636","61:68;63:68","61:0.01706960676273267;63:0.01791884436959254","0.006591796875","Yes"
"63","206.8339280611369","157.878017678806","0.0052490234375","0.00732421875","0.003173828125","2584","0.00017958713514916618","32","0.00017958713514916618","0","0.00017958713514916618","0.00017958713514916618","56:0.0008499944004232707;62:0.001636249628305636;64:0.001062736464925107","56:68;62:68;64:68","56:0.000953600111257169;62:0.01791884436959254;64:0.0012549100415554515","0.0052490234375","Yes"
"64","233.51077259527463","306.85934207240103","0.0169677734375","0.012451171875","0.021484375","2584","0.00021780115873297072","32","0.00021780115873297072","0","0.00021780115873297072","0.00021780115873297072","65:0.001527215892503403;63:0.001062736464925107","65:68;63:68","65:0.0012492293484769323;63:0.0012549100415554515","0.0169677734375","Yes"
"65","170.46080902824815","227.83439735680818","0.0089111328125","0.010498046875","0.00732421875","2584","0.0001850487025048132","32","0.0001850487025048132","0","0.0001850487025048132","0.0001850487025048132","64:0.001527215892503403;66:0.0015532421555775056;77:0.0013063989729607817","64:68;66:68;77:68","64:0.0012492293484769323;66:0.0017423590440291126;77:0.0015784403133994873","0.0089111328125","Yes"
"66","161.81826328228175","242.31336362962634","0.0103759765625","0.00732421875","0.013427734375","2584","0.0003143349979617224","32","0.0003143349979617224","0","0.0003143349979617224","0.0003143349979617224","65:0.0015532421555775056;67:0.004874721875012089","65:68;67:68","65:0.0017423590440291126;67:0.004681270879127536","0.0103759765625","Yes"
"67","275.56936800850394","188.75735586349202","0.0069580078125","0.007080078125","0.0068359375","2584","0.00036879195401640677","32","0.00036879195401640677","0","0.00036879195401640677","0.00036879195401640677","68:0.0031268284235566324;57:0.0024212616444299617;66:0.004874721875012089","68:68;57:68;66:68","68:0.00229120937748159;57:0.0017704474335926979;66:0.004681270879127536","0.0069580078125","Yes"
"68","230.19260480550415","250.95965727008746","0.0054931640625","0.008056640625","0.0029296875","2584","0.00011970647695737748","32","0.00011970647695737748","0","0.00011970647695737748","0.00011970647695737748","67:0.0031268284235566324;69:0.001792586947222341","67:68;69:68","67:0.00229120937748159;69:0.0016579498419307392","0.0054931640625","Yes"
"69","252.8302304423068","198.9863442661388","0.0062255859375","0.005615234375","0.0068359375","2584","0.00028730465237749615","32","0.00028730465237749615","0","0.00028730465237749615","0.00028730465237749615","78:0.005123172731834741;68:0.001792586947222341;70:0.0015400272683593341","78:68;68:68;70:68","78:0.003384909734378466;68:0.0016579498419307392;70:0.001198738760432999","0.0062255859375","Yes"
