"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"43","406.4568823208837","192.25891477970447","4.718079146288915","-0.3107613823150224","0.0185546875","0.01904296875","0.01806640625","1500","0.00017034247073767237","60","0","0.00017034247073767237","0.00017034247073767237","34:0.003821763297465003;42:0.0053963933894133065","34:660;42:660","0.0185546875","Yes"
"44","234.90243968395671","57.961817431805","4.562577492341194","-0.31787632438315244","0.03173828125","0.0361328125","0.02734375","1500","0.0003159232651734894","60","0","0.0003159232651734894","0.0003159232651734894","43:0.014886006909579141","43:660","0.03173828125","Yes"
"45","269.15504347647413","135.8794168305157","4.817806676232141","-0.3092514039448694","0.0416259765625","0.017578125","0.065673828125","1500","0.00017849988383250386","60","0","0.00017849988383250386","0.00017849988383250386","54:0.006636084416963645;44:0.008796478423043486","54:660;44:660","0.0416259765625","Yes"
"46","116.40662831571518","24.38059654758737","4.774302417120647","-0.3043932076142496","0.0621337890625","0.031982421875","0.09228515625","1500","0.00046089145871493084","60","0","0.00046089145871493084","0.00046089145871493084","45:0.009166208153873368;47:0.02274310956619638","45:660;47:660","0.0621337890625","Yes"
"47","229.56016242490307","84.51856788543981","4.693848546347814","-0.3111505616738272","0.0802001953125","0.084716796875","0.07568359375","1500","0.001186777639120858","60","0","0.001186777639120858","0.001186777639120858","48:0.05946295968812976","48:660","0.0802001953125","Yes"
"48","367.05528602847187","74.26048881423922","4.579705888094565","-0.3128527566038631","0.0400390625","0.0419921875","0.0380859375","1500","0.0007862430747658853","60","0","0.0007862430747658853","0.0007862430747658853","49:0.03055082047833399","49:660","0.0400390625","Yes"
"49","146.183627980369","98.49501183727793","4.8007695223996665","-0.30991217018271416","0.0477294921875","0.055419921875","0.0400390625","1500","0.002488224293045248","60","0","0.002488224293045248","0.002488224293045248","55:0.015857382238666118;50:0.0723201723474513","55:660;50:660","0.0477294921875","Yes"
"50","210.4303964102344","20.428379133145736","4.728412808016017","-0.29945163021072196","0.1087646484375","0.0869140625","0.130615234375","1500","0.0008728180498165318","60","0","0.0008728180498165318","0.0008728180498165318","51:0.01319522526816122","51:660","0.1087646484375","Yes"
"51","313.5794304516138","204.61677578812004","4.770550419558517","-0.3103199215304916","0.0269775390625","0.028076171875","0.02587890625","1500","0.00014671003767991665","60","0","0.00014671003767991665","0.00014671003767991665","36:0.004364444906274634","36:660","0.0269775390625","Yes"
"52","268.3929485662548","14.469991960170303","4.872860779047962","-0.3083517743708508","0.0255126953125","0.02734375","0.023681640625","1500","0.0019385100751134771","60","0","0.0019385100751134771","0.0019385100751134771","56:0.02800604282725233","56:660","0.0255126953125","Yes"
"53","239.27116383933677","180.3470092435663","4.986738031513142","-0.30629751568776786","0.0318603515625","0.03271484375","0.03564453125","1500","0.0002109199530233557","60","0","0.0002109199530233557","0.0002109199530233557","41:0.0174822547220998;60:0.004880343041436919","41:660;60:660","0.0318603515625","Yes"
"54","187.84345793126545","124.78244449531911","4.914642462203875","-0.3079640927175306","0.0308837890625","0.026611328125","0.03515625","1500","0.0004485215261157219","60","0","0.0004485215261157219","0.0004485215261157219","64:0.014060930953283646","64:660","0.0308837890625","Yes"
"55","249.2574137986834","35.52086181169807","4.89270294810703","-0.3081475212630315","0.0704345703125","0.07080078125","0.070068359375","1500","0.00022778161076753223","60","0","0.00022778161076753223","0.00022778161076753223","68:0.0063808092736122035","68:660","0.0704345703125","Yes"
"56","128.61269360245475","89.37360935107418","4.947069979198175","-0.30736402539631974","0.0186767578125","0.015380859375","0.02197265625","1500","0.0003332791755765249","60","0","0.0003332791755765249","0.0003332791755765249","","","0.0186767578125","Yes"
"57","181.5041102532983","70.75555375785922","4.74231309404961","-0.3094608182229042","0.021728515625","0.017578125","0.02587890625","1500","0.0004782304067240397","60","0","0.0004782304067240397","0.0004782304067240397","56:0.008733153900718077;58:0.0084178049232366","56:660;58:660","0.021728515625","Yes"
"58","349.45193972370777","177.06265052390245","4.864685540440371","-0.3095826382056906","0.28662109375","0.3037109375","0.26953125","1500","0.0001720322260247933","60","0","0.0001720322260247933","0.0001720322260247933","59:0.005007982177770459","59:660","0.28662109375","Yes"
"59","167.6792327284613","63.333820325864245","4.797080278204474","-0.309161380353075","0.0748291015625","0.047119140625","0.1025390625","1500","0.0002541338089528298","60","0","0.0002541338089528298","0.0002541338089528298","60:0.006072477997584924","60:660","0.0748291015625","Yes"
"60","274.0994051014518","168.7142003131969","4.922271535719256","-0.3076859354736121","0.03369140625","0.031982421875","0.035400390625","1500","0.0002058725967030826","60","0","0.0002058725967030826","0.0002058725967030826","61:0.009432745146152305","61:660","0.03369140625","Yes"
"61","187.88359136373228","31.30999758286402","4.826978470934466","-0.3017545216047978","0.082763671875","0.062255859375","0.103271484375","1500","0.00039259989906844354","60","0","0.00039259989906844354","0.00039259989906844354","","","0.082763671875","Yes"
"62","242.80257406056967","106.97614679487347","4.872353302048165","-0.30910053075251653","0.016845703125","0.011962890625","0.021728515625","1500","0.0003225602914666523","60","0","0.0003225602914666523","0.0003225602914666523","72:0.021032679750503297;61:0.010983643146218608","72:660;61:660","0.016845703125","Yes"
"63","271.59317458238405","173.09790449558338","4.6613697145052395","-0.3114525709719431","0.07373046875","0.0634765625","0.083984375","1500","0.0003752240289148528","60","0","0.0003752240289148528","0.0003752240289148528","62:0.007852725494744944","62:660","0.07373046875","Yes"
