"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"35","117.0078316607402","42.90397217631223","0.0216064453125","0.0244140625","0.018798828125","1560","0.0003781721515340048","24","0.0003781721515340048","0","0.0003781721515340048","0.0003781721515340048","19:68;34:68","19:0.002134118708528948;34:0.0018243550776130546","19:0.0022266736752437344;34:0.0021534572202085434","0.0216064453125","Yes"
"36","125.66298169339163","124.79574175727056","0.0101318359375","0.006103515625","0.01416015625","1560","0.000410009268384582","24","0.000410009268384582","0","0.000410009268384582","0.000410009268384582","41:68;21:68","41:0.002515703441975742;21:0.006754271111733379","41:0.001909500561269234;21:0.004565945937831328","0.0101318359375","Yes"
"37","161.3760055132246","163.39572429398453","0.0133056640625","0.01611328125","0.010498046875","1560","0.0003199556219204599","24","0.0003199556219204599","0","0.0003199556219204599","0.0003199556219204599","45:68;25:68","45:0.002154480300614603;25:0.002051385753658347","45:0.0021995589237294166;25:0.0019973289288011398","0.0133056640625","Yes"
"38","138.27146434296736","160.96378249671292","0.0087890625","0.010986328125","0.006591796875","1560","0.00020285635680136228","24","0.00020285635680136228","0","0.00020285635680136228","0.00020285635680136228","29:68;49:68","29:0.001867290810171035;49:0.0053470550776152925","29:0.002413885804614546;49:0.004584394338024239","0.0087890625","Yes"
"39","167.7651283561406","202.27892177121268","0.0185546875","0.02392578125","0.01318359375","1560","0.0007031716391719575","24","0.0007031716391719575","0","0.0007031716391719575","0.0007031716391719575","53:68;33:68","53:0.006452107562041509;33:0.0019058288216247388","53:0.004395008564956976;33:0.001913376232983044","0.0185546875","Yes"
"40","87.90851028014615","119.60636228726548","0.04345703125","0.05126953125","0.03564453125","1560","0.0004650643117330864","24","0.0004650643117330864","0","0.0004650643117330864","0.0004650643117330864","41:68","41:0.0020270948502410513","41:0.003171281007977894","0.04345703125","Yes"
"41","114.94781479365754","76.18748090458467","0.0885009765625","0.101318359375","0.07568359375","1560","0.00014698497208950602","24","0.00014698497208950602","0","0.00014698497208950602","0.00014698497208950602","40:68;42:68;36:68","40:0.0020270948502410513;42:0.0022404564476262157;36:0.002515703441975742","40:0.003171281007977894;42:0.0025318757394455216;36:0.001909500561269234","0.0885009765625","Yes"
"42","160.97186171071044","42.4448651516846","0.0096435546875","0.012451171875","0.0068359375","1560","0.00024194044226640677","24","0.00024194044226640677","0","0.00024194044226640677","0.00024194044226640677","41:68;43:68","41:0.0022404564476262157;43:0.0054000295648888585","41:0.0025318757394455216;43:0.005944718564895757","0.0096435546875","Yes"
"43","141.94697688900715","72.92278103591926","0.1380615234375","0.13232421875","0.143798828125","1560","0.000256601023583846","24","0.000256601023583846","0","0.000256601023583846","0.000256601023583846","42:68;56:68;44:68","42:0.0054000295648888585;56:0.006018125652748646;44:0.02730309306047557","42:0.005944718564895757;56:0.00637040236962913;44:0.02814632586213428","0.1380615234375","Yes"
"44","72.0932663675026","88.42705865148099","0.006591796875","0.00732421875","0.00390625","1560","0.00046875824450070457","24","0.00046875824450070457","0","0.00046875824450070457","0.00046875824450070457","45:68;43:68","45:0.0024591067047805837;43:0.02730309306047557","45:0.0020410415419381545;43:0.02814632586213428","0.006591796875","Yes"
