"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"74","93.53816057636307","11.201696746589848","0.0272216796875","0.041748046875","0.0126953125","2584","0.0002233405882294503","36","0.0002233405882294503","0","0.0002233405882294503","0.0002233405882294503","73:0.0037155819204880702;75:0.003432547867319946","73:68;75:68","73:0.0032282590696468827;75:0.0016930701478954924","0.0272216796875","Yes"
"75","293.59037960789834","121.94978748880197","0.0086669921875","0.01611328125","0.001220703125","2584","0.0002880820848224007","36","0.0002880820848224007","0","0.0002880820848224007","0.0002880820848224007","59:0.004715286130371227;74:0.003432547867319946","59:68;74:68","59:0.001856330871730233;74:0.0016930701478954924","0.0086669921875","Yes"
"76","83.4814902179062","43.29387280766817","0.015625","0.01171875","0.01953125","2584","0.00027598650978143856","36","0.00027598650978143856","0","0.00027598650978143856","0.00027598650978143856","81:0.004492703559716121;61:0.011164159392852813","81:68;61:68","81:0.0028824417965012117;61:0.007552105193144726","0.015625","Yes"
"77","134.29017712160615","80.20507013580865","0.0128173828125","0.013427734375","0.01220703125","2584","0.0003194757626487693","36","0.0003194757626487693","0","0.0003194757626487693","0.0003194757626487693","85:0.003558947715869093;65:0.002054696890416291","85:68;65:68","85:0.002830824075110039;65:0.0018100043676944066","0.0128173828125","Yes"
"78","165.68689870654586","166.7434904736046","0.01611328125","0.01708984375","0.015380859375","2584","0.0003290010263821362","36","0.0003290010263821362","0","0.0003290010263821362","0.0003290010263821362","69:0.0023084184734754043;89:0.0018296760567662607","69:68;89:68","69:0.002412683346106115;89:0.003359119095871721","0.01611328125","Yes"
"79","124.2803732637106","23.744923311932716","0.0789794921875","0.08349609375","0.074462890625","2584","0.0004040610981566371","36","0.0004040610981566371","0","0.0004040610981566371","0.0004040610981566371","93:0.0030150035247555884;73:0.0035645057760610166","93:68;73:68","93:0.0018998168542070926;73:0.0024072974481204323","0.0789794921875","Yes"
"80","139.37274560927514","37.6324410271337","0.01123046875","0.018798828125","0.003662109375","2584","0.0002669997895512279","36","0.0002669997895512279","0","0.0002669997895512279","0.0002669997895512279","81:0.003104582344115314","81:68","81:0.0041783852426370005","0.01123046875","Yes"
"81","115.1330320261026","116.51618072963441","0.02490234375","0.0380859375","0.01171875","2584","0.0005628830305448643","36","0.0005628830305448643","0","0.0005628830305448643","0.0005628830305448643","80:0.003104582344115314;82:0.11982977579103986;76:0.004492703559716121","80:68;82:68;76:68","80:0.0041783852426370005;82:0.1054267484343237;76:0.0028824417965012117","0.02490234375","Yes"
"82","6.655020753402817","6.440762177221647","0.3427734375","0.554443359375","0.131103515625","2584","","36","","0","","","81:0.11982977579103986","81:68;83:68","81:0.1054267484343237","0.3427734375","Yes"
"83","114.23621130357047","84.42717240226803","0.3448486328125","0.16455078125","0.525146484375","2584","0.0004564800711169187","36","0.0004564800711169187","0","0.0004564800711169187","0.0004564800711169187","96:0.008284406725053317;84:0.00467171938680272","96:68;82:68;84:68","96:0.003937863276413517;84:0.0029170859076026734","0.3448486328125","Yes"
