"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"78","323.45330119188577","31.783804487348366","0.03125","0.0419921875","0.031494140625","2280","0.00012806268531447782","32","0.00012806268531447782","0","0.00012806268531447782","0.00012806268531447782","69:0.0022851991444790554;89:0.0022058456090454925","69:68;89:68","69:0.0021737953263034626;89:0.001677138317674992","0.03125","0.036865234375","Yes"
"79","169.7209163770875","61.53573640818329","0.0128173828125","0.01171875","0.013916015625","2280","0.0001840518550304011","32","0.0001840518550304011","0","0.0001840518550304011","0.0001840518550304011","93:0.0036951001869678646;73:0.0031038409686565405","93:68;73:68","93:0.0013107196643093177;73:0.0010564154300725659","0.0128173828125","0.011474609375","Yes"
"80","364.4594287456052","312.68690465181277","0.0079345703125","0.008056640625","0.0078125","2280","0.00028532910262985234","32","0.00028532910262985234","0","0.00028532910262985234","0.00028532910262985234","81:0.0012739853474161567","81:68","81:0.00160844352362427","0.0079345703125","0.029541015625","Yes"
"81","409.89186125021524","341.02155436276246","0.0125732421875","0.02099609375","0.004150390625","2280","0.00026468589435432857","32","0.00026468589435432857","0","0.00026468589435432857","0.00026468589435432857","80:0.0012739853474161567;82:0.0011004349697294469;76:0.0031705492912767475","80:68;82:68;76:68","80:0.00160844352362427;82:0.0016947253488959202;76:0.00291001062217755","0.0125732421875","0.012939453125","Yes"
"82","299.2769085053062","86.49375394201711","0.414306640625","0.177001953125","0.651611328125","2280","0.00015974739326343257","32","0.00015974739326343257","0","0.00015974739326343257","0.00015974739326343257","81:0.0011004349697294469;83:0.1255204778031331","81:68;83:68","81:0.0016947253488959202;83:0.001214711799545215","0.414306640625","0.500244140625","Yes"
"83","361.86491411691435","275.0343047450461","0.053955078125","0.039306640625","0.068603515625","2280","0.0003484232715195075","32","0.0003484232715195075","0","0.0003484232715195075","0.0003484232715195075","82:0.1255204778031331;84:0.0020660688661639504","96:68;82:68;84:68","82:0.001214711799545215;84:0.0020002056279931624","0.053955078125","0.031005859375","Yes"
"84","244.12243763631153","66.83006312867555","0.01806640625","0.021728515625","0.014404296875","2280","0.0005124681845807944","32","0.0005124681845807944","0","0.0005124681845807944","0.0005124681845807944","83:0.0020660688661639504;85:0.0384651811358879","83:68;85:68","83:0.0020002056279931624;85:0.04611746712437248","0.01806640625","0.0107421875","Yes"
"85","198.02175438187425","99.55414610181516","0.00732421875","0.0078125","0.0068359375","2280","0.00047164088698148176","32","0.00047164088698148176","0","0.00047164088698148176","0.00047164088698148176","77:0.004990870365424782;86:0.007270355972580578;84:0.0384651811358879","77:68;86:68;84:68","77:0.003878362544211228;86:0.0050528715915335864;84:0.04611746712437248","0.00732421875","0.009033203125","Yes"
"86","155.13818960713425","21.697094968995916","0.0059814453125","0.010009765625","0.001953125","2280","0.0002280377035502361","32","0.0002280377035502361","0","0.0002280377035502361","0.0002280377035502361","85:0.007270355972580578;87:0.00404629404490825","85:68;87:68","85:0.0050528715915335864;87:0.0027007488587710293","0.0059814453125","0.0048828125","Yes"
"87","52.35486994949259","38.595004567920846","0.00439453125","0.00830078125","0.00048828125","2280","0.0006923898001540438","32","0.0006923898001540438","0","0.0006923898001540438","0.0006923898001540438","86:0.00404629404490825;88:0.0018936032119550306;97:0.002070165337811014","86:68;88:68;97:68","86:0.0027007488587710293;88:0.0019997029832790614;97:0.001789656650263094","0.00439453125","0.007080078125","Yes"
"88","115.10070567872239","12.989650207825118","0.0067138671875","0.006103515625","0.00732421875","2280","0.00032619024063631146","32","0.00032619024063631146","0","0.00032619024063631146","0.00032619024063631146","87:0.0018936032119550306;89:0.0018418028799071784","87:68;89:68","87:0.0019997029832790614;89:0.0013752076248260137","0.0067138671875","0.005859375","Yes"
"89","233.09405096987217","157.37885896532072","0.004638671875","0.004150390625","0.005126953125","2280","0.0002945419405351745","32","0.0002945419405351745","0","0.0002945419405351745","0.0002945419405351745","90:0.0010944885818089667;88:0.0018418028799071784;78:0.0022058456090454925","90:68;88:68;78:68","90:0.0014241353087399156;88:0.0013752076248260137;78:0.001677138317674992","0.004638671875","0.013427734375","Yes"
"90","229.4184415754517","238.0420735030203","0.0048828125","0.0078125","0.001953125","2280","0.00023607323038091755","32","0.00023607323038091755","0","0.00023607323038091755","0.00023607323038091755","89:0.0010944885818089667;91:0.001447459548446134","89:68;91:68","89:0.0014241353087399156;91:0.0016383248544645512","0.0048828125","0.00439453125","Yes"
"91","236.59771637198463","103.45928106187849","0.0074462890625","0.0068359375","0.008056640625","2280","0.00022036630342927755","32","0.00022036630342927755","0","0.00022036630342927755","0.00022036630342927755","98:0.001181329543852333;90:0.001447459548446134;92:0.0017292642861370944","98:68;90:68;92:68","98:0.0014733793447598287;90:0.0016383248544645512;92:0.04358988218995233","0.0074462890625","0.004638671875","Yes"
"92","268.32596223422644","261.245888816274","0.088623046875","0.0703125","0.10693359375","2280","0.0003785884739705517","32","0.0003785884739705517","0","0.0003785884739705517","0.0003785884739705517","91:0.0017292642861370944;93:0.0013344222987937138","91:68;93:68","91:0.04358988218995233;93:0.04192666411658083","0.088623046875","0.1240234375","Yes"
"93","374.90862391600643","164.28508298813438","0.0032958984375","0.0048828125","0.001708984375","2280","0.00038160561619689915","32","0.00038160561619689915","0","0.00038160561619689915","0.00038160561619689915","94:0.0011954729691848187;79:0.0036951001869678646;92:0.0013344222987937138","94:68;79:68;92:68","94:0.0012229367650935241;79:0.0013107196643093177;92:0.04192666411658083","0.0032958984375","0.005126953125","Yes"
"94","262.0924004430348","224.6098750577187","0.0152587890625","0.014892578125","0.015625","2280","0.00013338344362281607","32","0.00013338344362281607","0","0.00013338344362281607","0.00013338344362281607","93:0.0011954729691848187;95:0.0019669582966419796","93:68;95:68","93:0.0012229367650935241;95:0.00184908008129675","0.0152587890625","0.013671875","Yes"
"95","218.80655318052982","176.95833948575049","0.0072021484375","0.0146484375","0.009521484375","2280","0.00021898381974665338","32","0.00021898381974665338","0","0.00021898381974665338","0.00021898381974665338","99:0.001907002846714967;94:0.0019669582966419796","99:68;94:68","99:0.01811020854572118;94:0.00184908008129675","0.0072021484375","0.00390625","Yes"
"96","332.04881575383934","155.7506552036625","0.490966796875","0.002197265625","0.979736328125","2280","","32","","0","","","","83:68;103:68","","0.490966796875","0.24658203125","Yes"
"97","197.23173525361324","66.11530877158042","0.0101318359375","0.01171875","0.008544921875","2280","0.00019332553508667053","32","0.00019332553508667053","0","0.00019332553508667053","0.00019332553508667053","87:0.002070165337811014;107:0.001253444173387186","87:68;107:68","87:0.001789656650263094;107:0.0014048327554541662","0.0101318359375","0.004150390625","Yes"
"98","196.36734019815188","57.85752263962541","0.0068359375","0.01123046875","0.00244140625","2280","0.00025723786099097524","32","0.00025723786099097524","0","0.00025723786099097524","0.00025723786099097524","91:0.001181329543852333;111:0.002198632989065058","91:68;111:68","91:0.0014733793447598287;111:0.0012756018871917796","0.0068359375","0.02734375","Yes"
"99","237.3926235465435","180.94594967648365","0.113525390625","0.15966796875","0.0673828125","2280","0.0001921585776460943","32","0.0001921585776460943","0","0.0001921585776460943","0.0001921585776460943","115:0.004971964248245475;95:0.001907002846714967","115:68;95:68","115:0.01990816128434464;95:0.01811020854572118","0.113525390625","0.0322265625","Yes"
"100","161.78320046666204","143.42991147315925","0.0078125","0.0087890625","0.0068359375","2280","0.00017630260498348804","32","0.00017630260498348804","0","0.00017630260498348804","0.00017630260498348804","101:0.0014642439965878162","101:68","101:0.0015381000487838248","0.0078125","0.018310546875","Yes"
