"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"48","305.7429018073028","82.138106087877","0.034912109375","0.043701171875","0.026123046875","2400","0.0002738680343684652","32","0.0002738680343684652","0","0.0002738680343684652","0.0002738680343684652","47:0.00234084398300341;49:0.00171446482035148;38:0.004281525888063714;58:0.014051362753613239","47:68;49:88;38:68;58:68","0.034912109375","Yes"
"49","491.8415149693542","86.8479456382792","0.0325927734375","0.02978515625","0.035400390625","2400","0.00019016682336486554","32","0.00019016682336486554","0","0.00019016682336486554","0.00019016682336486554","48:0.00171446482035148;59:0.08077272091055943;39:0.025808423681952297","48:88;59:68;39:108","0.0325927734375","Yes"
"50","301.07526122157526","342.6928608670184","0.0186767578125","0.021728515625","0.015625","2400","0.0003435951010733299","32","0.0003435951010733299","0","0.0003435951010733299","0.0003435951010733299","40:0.0024163450976712464;51:0.0013180949503956707;60:0.004222742351208952","40:68;51:68;60:68","0.0186767578125","Yes"
"51","459.4192093904596","226.30340509156332","0.026611328125","0.0302734375","0.02294921875","2400","0.00016347223869269745","32","0.00016347223869269745","0","0.00016347223869269745","0.00016347223869269745","41:0.0012795802323348482;50:0.0013180949503956707;52:0.0010143766527878906;61:0.0011447581058527112","41:68;50:68;52:68;61:88","0.026611328125","Yes"
"52","384.2396001284901","324.78605092124326","0.023193359375","0.032958984375","0.013427734375","2400","0.00018124868525385318","32","0.00018124868525385318","0","0.00018124868525385318","0.00018124868525385318","42:0.001278687289046454;51:0.0010143766527878906;53:0.0009431412980311915;62:0.0023655211952587907","42:68;51:68;53:68;62:68","0.023193359375","Yes"
"53","565.8694186909031","226.75941791736614","0.095703125","0.126220703125","0.065185546875","2400","0.00011715324538631424","32","0.00011715324538631424","0","0.00011715324538631424","0.00011715324538631424","52:0.0009431412980311915;54:0.001091212998306862;63:0.0016122794570556653;43:0.003568819868098372","52:68;54:68;63:68;43:68","0.095703125","Yes"
"54","260.1793468570849","248.88074997231362","0.021484375","0.017578125","0.024658203125","2400","0.00028972091189646577","32","0.00028972091189646577","0","0.00028972091189646577","0.00028972091189646577","53:0.001091212998306862;55:0.0023747426555996154;64:0.001429402540155028","44:88;53:68;55:88;64:88","0.021484375","Yes"
"55","357.9632259921242","40.32314244303988","0.0245361328125","0.02587890625","0.023193359375","2400","0.000331903342726077","32","0.000331903342726077","0","0.000331903342726077","0.000331903342726077","56:0.002146854751614774;45:0.0021641263980101966;65:0.002518849530693118;54:0.0023747426555996154","56:68;45:68;65:68;54:88","0.0245361328125","Yes"
"56","264.8287223305347","97.56104123201028","0.0250244140625","0.02294921875","0.027099609375","2400","0.0002963260317991713","32","0.0002963260317991713","0","0.0002963260317991713","0.0002963260317991713","55:0.002146854751614774;46:0.004200092944218442;57:0.005443693913084746;66:0.002077550233485076","55:68;46:68;57:68;66:68","0.0250244140625","Yes"
"57","264.5005507458998","35.93625468238635","0.045166015625","0.072509765625","0.017822265625","2400","0.00043643751862918134","32","0.00043643751862918134","0","0.00043643751862918134","0.00043643751862918134","47:0.007919491428193176;56:0.005443693913084746;58:0.004491313496211902;67:0.003164920635729346","47:68;56:68;58:68;67:68","0.045166015625","Yes"
"58","369.34336498743494","92.51419023090817","0.01904296875","0.022705078125","0.015380859375","2400","0.0007219832377419437","32","0.0007219832377419437","0","0.0007219832377419437","0.0007219832377419437","48:0.014051362753613239;57:0.004491313496211902;59:0.13921943700170955;68:0.07514871261256997","48:68;57:68;59:68;68:108","0.01904296875","Yes"
"59","74.5127875508411","19.89213613697299","0.021728515625","0.0361328125","0.00732421875","2400","0.00852447648933993","32","0.00852447648933993","0","0.00852447648933993","0.00852447648933993","49:0.08077272091055943;58:0.13921943700170955;69:0.07725599198854916","49:68;58:68;69:108","0.021728515625","Yes"
"60","414.3524962329877","329.38170062949575","0.023681640625","0.024169921875","0.023193359375","2400","0.00014616288470922277","32","0.00014616288470922277","0","0.00014616288470922277","0.00014616288470922277","61:0.014668450093867247;50:0.004222742351208952;70:0.0035196629136796387","61:68;50:68;70:68","0.023681640625","Yes"
"61","196.3189283354856","194.56133744287197","0.0233154296875","0.037841796875","0.0087890625","2400","0.00048199406837672916","32","0.00048199406837672916","0","0.00048199406837672916","0.00048199406837672916","51:0.0011447581058527112;60:0.014668450093867247;62:0.005934677723621495;71:0.017182298411944075","51:88;60:68;62:108;71:68","0.0233154296875","Yes"
"62","386.20019475712945","239.31368490189215","0.0311279296875","0.049072265625","0.01318359375","2400","0.0001549933693053609","32","0.0001549933693053609","0","0.0001549933693053609","0.0001549933693053609","72:0.0037894737783398524;52:0.0023655211952587907;61:0.005934677723621495;63:0.00512282891975277","72:168;52:68;61:108;63:88","0.0311279296875","Yes"
"63","255.0744854981336","230.8595919267746","0.016845703125","0.021240234375","0.012451171875","2400","0.00009340124190186769","32","0.00009340124190186769","0","0.00009340124190186769","0.00009340124190186769","53:0.0016122794570556653;62:0.00512282891975277;64:0.002359659751088511;73:0.0036264550464180367","53:68;62:88;64:68;73:68","0.016845703125","Yes"
"64","447.30368058296204","242.19960555929987","0.0247802734375","0.037109375","0.012451171875","2400","0.000370778949651775","32","0.000370778949651775","0","0.000370778949651775","0.000370778949651775","65:0.0017000061496079688;54:0.001429402540155028;63:0.002359659751088511;74:0.0017362732715822116","65:108;54:88;63:68;74:68","0.0247802734375","Yes"
