"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"52","151.98273314515433","128.07349453924613","0.044677734375","0.057861328125","0.031494140625","2400","0.00027646938598744226","32","0.00027646938598744226","0","0.00027646938598744226","0.00027646938598744226","42:0.004416103547105227;51:0.004628256868250996;53:0.0035540465394244825;62:0.0027253120774634876","42:128;51:128;53:128;62:128","0.044677734375","Yes"
"53","300.6224516959557","205.00430735455524","0.0177001953125","0.0283203125","0.007080078125","2400","0.0002888751667577235","32","0.0002888751667577235","0","0.0002888751667577235","0.0002888751667577235","52:0.0035540465394244825;54:0.0023577107847024825;63:0.003012855308884399;43:0.001980893046682919","52:128;54:148;63:228;43:128","0.0177001953125","Yes"
"54","296.29840722039313","163.33045606642915","0.0118408203125","0.0185546875","0.00927734375","2400","0.0003939802487099808","32","0.0003939802487099808","0","0.0003939802487099808","0.0003939802487099808","44:0.0028511045966915505;53:0.0023577107847024825;55:0.004078837828183635;64:0.0028065215203913196","44:128;53:148;55:228;64:208","0.0118408203125","Yes"
"55","367.5113505709087","227.18566008423718","0.0150146484375","0.01806640625","0.011962890625","2400","0.00030335830259743495","32","0.00030335830259743495","0","0.00030335830259743495","0.00030335830259743495","56:0.0025043938253613562;45:0.002490064159028915;65:0.002582217753534649;54:0.004078837828183635","56:168;45:128;65:148;54:228","0.0150146484375","Yes"
"56","353.33154576565414","268.46792998319694","0.028564453125","0.03564453125","0.021484375","2400","0.00015895626959736256","32","0.00015895626959736256","0","0.00015895626959736256","0.00015895626959736256","55:0.0025043938253613562;46:0.0034754278223539936;57:0.003384882764131514;66:0.0021337325729782475","55:168;46:188;57:128;66:128","0.028564453125","Yes"
"57","326.96696907275924","235.47255757057437","0.018310546875","0.025146484375","0.011474609375","2400","0.0008524931959775237","32","0.0008524931959775237","0","0.0008524931959775237","0.0008524931959775237","47:0.0025067797577313644;56:0.003384882764131514;58:0.00275953164877471;67:0.0048565414244317595","47:168;56:128;58:168;67:308","0.018310546875","Yes"
"58","361.2302256783968","186.98224351354963","0.020263671875","0.02587890625","0.0146484375","2400","0.00011862438105584811","32","0.00011862438105584811","0","0.00011862438105584811","0.00011862438105584811","48:0.07551414356549904;57:0.00275953164877471;59:0.001498717622323953;68:0.0032409360848272284","48:248;57:168;59:168;68:248","0.020263671875","Yes"
"59","359.4609167756448","262.6639182710208","0.01953125","0.0263671875","0.0126953125","2400","0.00018067618926655417","32","0.00018067618926655417","0","0.00018067618926655417","0.00018067618926655417","49:0.0012519893244564428;58:0.001498717622323953;69:0.0013276313541334406","49:128;58:168;69:128","0.01953125","Yes"
"60","333.912379601007","284.6578185416676","0.012451171875","0.015869140625","0.009033203125","2400","0.0009031331571577761","32","0.0009031331571577761","0","0.0009031331571577761","0.0009031331571577761","61:0.095745164157425;50:0.0025344337470349365;70:0.0031712427188006487","61:128;50:68;70:128","0.012451171875","Yes"
"61","34.56857797654152","35.437548409853314","0.1060791015625","0.17578125","0.036376953125","2400","0.021711235299097843","32","0.021711235299097843","0","0.021711235299097843","0.021711235299097843","51:0.1194204601983087;60:0.095745164157425;62:0.09995570299819068;71:0.055844879636474914","51:128;60:128;62:288;71:188","0.1060791015625","Yes"
"62","414.17700482139145","333.46307112202925","0.02294921875","0.02685546875","0.01904296875","2400","0.0002596748762741417","32","0.0002596748762741417","0","0.0002596748762741417","0.0002596748762741417","72:0.0019761205319699104;52:0.0027253120774634876;61:0.09995570299819068;63:0.0017292055386319005","72:128;52:128;61:288;63:128","0.02294921875","Yes"
"63","383.3543612586154","240.38330419878406","0.0235595703125","0.022216796875","0.02490234375","2400","0.00034427126898182943","32","0.00034427126898182943","0","0.00034427126898182943","0.00034427126898182943","53:0.003012855308884399;62:0.0017292055386319005;64:0.0017299196834756614;73:0.004346963268042875","53:228;62:128;64:188;73:148","0.0235595703125","Yes"
"64","247.20403610654716","201.0037279361933","0.0079345703125","0.011962890625","0.00390625","2400","0.00016295438298996468","32","0.00016295438298996468","0","0.00016295438298996468","0.00016295438298996468","65:0.0025155477407405036;54:0.0028065215203913196;63:0.0017299196834756614;74:0.002526585549065513","65:128;54:208;63:188;74:208","0.0079345703125","Yes"
"65","330.13451221441136","220.2751775491448","0.01611328125","0.01806640625","0.01416015625","2400","0.00026668023021031255","32","0.00026668023021031255","0","0.00026668023021031255","0.00026668023021031255","55:0.002582217753534649;64:0.0025155477407405036;66:0.0042551040751794555;75:0.0032290400804846353","55:148;64:128;66:128;75:208","0.01611328125","Yes"
"66","473.2133506486509","250.90256576975636","0.024658203125","0.02783203125","0.021484375","2400","0.000523082879680758","32","0.000523082879680758","0","0.000523082879680758","0.000523082879680758","56:0.0021337325729782475;65:0.0042551040751794555;76:0.0022908476379614184","56:128;65:128;67:68;76:228","0.024658203125","Yes"
"67","310.367933652815","254.83013942882639","0.0277099609375","0.027587890625","0.02783203125","2400","0.0002910839737188869","32","0.0002910839737188869","0","0.0002910839737188869","0.0002910839737188869","68:0.0018069322389657472;77:0.01652797004268647;57:0.0048565414244317595","68:188;77:208;57:308;66:68","0.0277099609375","Yes"
"68","533.9477554624884","296.90638809063853","0.02197265625","0.0263671875","0.017578125","2400","0.00027197067287915914","32","0.00027197067287915914","0","0.00027197067287915914","0.00027197067287915914","67:0.0018069322389657472;58:0.0032409360848272284;69:0.002790759534022219","67:188;58:248;69:168;78:228","0.02197265625","Yes"
"69","321.521493714289","275.1169147965306","0.0196533203125","0.0244140625","0.014892578125","2400","0.0002103069528157991","32","0.0002103069528157991","0","0.0002103069528157991","0.0002103069528157991","68:0.002790759534022219;59:0.0013276313541334406;79:0.0013390433610653008","68:168;59:128;79:188","0.0196533203125","Yes"
"70","457.01055606622754","380.64535024702946","0.010009765625","0.012939453125","0.007080078125","2400","0.00015488437084576018","32","0.00015488437084576018","0","0.00015488437084576018","0.00015488437084576018","60:0.0031712427188006487;71:0.011675623781809419;80:0.003940691331254076","60:128;71:68;80:208","0.010009765625","Yes"
"71","340.6244611997526","188.36276155774937","0.118896484375","0.0400390625","0.0205078125","2400","0.0006121620048194403","32","0.0006121620048194403","0","0.0006121620048194403","0.0006121620048194403","72:0.009803424748006023;81:0.007453503898892794;61:0.055844879636474914;70:0.011675623781809419","72:128;81:208;61:188;70:68","0.118896484375","Yes"
"72","386.0821576780042","204.8818950563069","0.0352783203125","0.036865234375","0.03369140625","2400","0.0002814792157553569","32","0.0002814792157553569","0","0.0002814792157553569","0.0002814792157553569","73:0.002429529141720649;62:0.0019761205319699104;82:0.0030315067778498572;71:0.009803424748006023","73:128;62:128;82:188;71:128","0.0352783203125","Yes"
"73","483.54157889833124","232.6663455895916","0.0169677734375","0.01806640625","0.015869140625","2400","0.00037603041831231357","32","0.00037603041831231357","0","0.00037603041831231357","0.00037603041831231357","72:0.002429529141720649;74:0.003385448429232274;83:0.14040807172533606;63:0.004346963268042875","72:128;74:288;83:168;63:148","0.0169677734375","Yes"
"74","262.11426503163545","180.26579363410494","0.009521484375","0.01220703125","0.0068359375","2400","0.00024364605287532188","32","0.00024364605287532188","0","0.00024364605287532188","0.00024364605287532188","73:0.003385448429232274;75:0.012544553148827436;64:0.002526585549065513","73:288;75:128;84:168;64:208","0.009521484375","Yes"
"75","442.371159324351","225.69608118653647","0.009765625","0.010009765625","0.009521484375","2400","0.0003695252494759556","32","0.0003695252494759556","0","0.0003695252494759556","0.0003695252494759556","74:0.012544553148827436;76:0.00417876743616416;85:0.008900641203596404;65:0.0032290400804846353","74:128;76:148;85:128;65:208","0.009765625","Yes"
"76","233.07034973243864","170.8961147210524","0.009033203125","0.01171875","0.00634765625","2400","0.0003987501538889666","32","0.0003987501538889666","0","0.0003987501538889666","0.0003987501538889666","75:0.00417876743616416;77:0.02040766332553698;66:0.0022908476379614184;86:0.00280200131873401","75:148;77:148;66:228;86:168","0.009033203125","Yes"
"77","118.62754318734447","113.12575390600296","0.0157470703125","0.023681640625","0.0078125","2400","0.000562054727933637","32","0.000562054727933637","0","0.000562054727933637","0.000562054727933637","67:0.01652797004268647;78:0.002726608278926068;87:0.00211639139555031;76:0.02040766332553698","67:208;78:208;87:248;76:148","0.0157470703125","Yes"
"78","382.5217167841386","321.75464111159926","0.0155029296875","0.021728515625","0.00927734375","2400","0.00035071758994170243","32","0.00035071758994170243","0","0.00035071758994170243","0.00035071758994170243","77:0.002726608278926068;79:0.003032227339523602;88:0.004453368344326053","77:208;79:288;88:268;68:228","0.0155029296875","Yes"
"79","480.013910257432","441.1358154004219","0.022705078125","0.028564453125","0.016845703125","2400","0.0002473226518641372","32","0.0002473226518641372","0","0.0002473226518641372","0.0002473226518641372","78:0.003032227339523602;89:0.003008430089836034;69:0.0013390433610653008","78:288;89:68;69:188","0.022705078125","Yes"
"80","317.9291348935485","277.0899808836203","0.0179443359375","0.021484375","0.014404296875","2400","0.0005277438199813487","32","0.0005277438199813487","0","0.0005277438199813487","0.0005277438199813487","81:0.002148474854922283;90:0.001810616557297251;70:0.003940691331254076","81:128;90:88;70:208","0.0179443359375","Yes"
"81","311.28973023940415","206.58358292493457","0.016845703125","0.02099609375","0.0126953125","2400","0.00015984128868894946","32","0.00015984128868894946","0","0.00015984128868894946","0.00015984128868894946","80:0.002148474854922283;82:0.0023457628307453626;71:0.007453503898892794;91:0.001201803422892972","80:128;82:68;71:208;91:88","0.016845703125","Yes"
"82","122.42468239542941","130.53847860178738","0.0145263671875","0.020263671875","0.0087890625","2400","0.0003348085639220721","32","0.0003348085639220721","0","0.0003348085639220721","0.0003348085639220721","72:0.0030315067778498572;81:0.0023457628307453626;83:0.0025663369411317027;92:0.003272311919119919","72:188;81:68;83:68;92:168","0.0145263671875","Yes"
